Area	Textura	Sistema	Profundidade	Agregado	Replicate	P_Labil	P_nao_Labil	 P_Lab_Per	P_total
SaoCarlos	media	ICLF1.5	0_5	grande	1	9.48	389.56	2.38	399.04
SaoCarlos	media	ICLF1.5	0_5	grande	2	9.69	407.18	2.33	416.87
SaoCarlos	media	ICLF1.5	0_5	grande	3	10.01	440.03	2.23	450.04
SaoCarlos	media	ICLF7.5	0_5	grande	1	14.06	471.42	2.90	485.48
SaoCarlos	media	ICLF7.5	0_5	grande	2	12.89	402.09	3.11	414.98
SaoCarlos	media	ICLF7.5	0_5	grande	3	12.68	352.01	3.48	364.69
SaoCarlos	media	ILF1.5	0_5	grande	1	12.68	481.48	2.57	494.15
SaoCarlos	media	ILF1.5	0_5	grande	2	13.53	445.59	2.95	459.11
SaoCarlos	media	ILF1.5	0_5	grande	3	13.42	484.64	2.69	498.07
SaoCarlos	media	ILF7.5	0_5	grande	1	10.65	321.95	3.20	332.60
SaoCarlos	media	ILF7.5	0_5	grande	2	9.80	365.80	2.61	375.60
SaoCarlos	media	ILF7.5	0_5	grande	3	10.01	348.89	2.79	358.90
SaoCarlos	media	ICL 	0_5	grande	1	12.04	325.76	3.56	337.80
SaoCarlos	media	ICL 	0_5	grande	2	11.61	345.57	3.25	357.18
SaoCarlos	media	ICL 	0_5	grande	3	11.40	326.28	3.38	337.68
SaoCarlos	media	RP	0_5	grande	1	15.45	259.36	5.62	274.80
SaoCarlos	media	RP	0_5	grande	2	13.85	294.21	4.50	308.06
SaoCarlos	media	RP	0_5	grande	3	14.38	275.68	4.96	290.06
SaoCarlos	media	EP	0_5	grande	1	6.39	176.64	3.49	183.03
SaoCarlos	media	EP	0_5	grande	2	5.54	141.32	3.77	146.86
SaoCarlos	media	EP	0_5	grande	3	5.75	179.04	3.11	184.79
SaoCarlos	media	ANV	0_5	grande	1	4.90	93.36	4.99	98.26
SaoCarlos	media	ANV	0_5	grande	2	4.15	97.98	4.07	102.13
SaoCarlos	media	ANV	0_5	grande	3	5.54	70.53	7.28	76.07
SaoCarlos	media	ICLF1.5	0_5	macro	1	10.65	400.40	2.59	411.06
SaoCarlos	media	ICLF1.5	0_5	macro	2	12.78	378.15	3.27	390.93
SaoCarlos	media	ICLF1.5	0_5	macro	3	18.22	388.65	4.48	406.87
SaoCarlos	media	ICLF7.5	0_5	macro	1	12.89	187.13	6.44	200.02
SaoCarlos	media	ICLF7.5	0_5	macro	2	19.49	177.96	9.87	197.45
SaoCarlos	media	ICLF7.5	0_5	macro	3	17.47	192.54	8.32	210.01
SaoCarlos	media	ILF1.5	0_5	macro	1	18.75	212.80	8.10	231.55
SaoCarlos	media	ILF1.5	0_5	macro	2	19.81	271.73	6.80	291.54
SaoCarlos	media	ILF1.5	0_5	macro	3	19.28	266.73	6.74	286.01
SaoCarlos	media	ILF7.5	0_5	macro	1	16.09	216.04	6.93	232.13
SaoCarlos	media	ILF7.5	0_5	macro	2	18.32	227.61	7.45	245.93
SaoCarlos	media	ILF7.5	0_5	macro	3	18.22	209.83	7.99	228.05
SaoCarlos	media	ICL 	0_5	macro	1	16.51	242.74	6.37	259.25
SaoCarlos	media	ICL 	0_5	macro	2	18.75	270.96	6.47	289.71
SaoCarlos	media	ICL 	0_5	macro	3	17.04	269.60	5.95	286.64
SaoCarlos	media	RP	0_5	macro	1	17.47	162.75	9.69	180.22
SaoCarlos	media	RP	0_5	macro	2	18.96	200.81	8.63	219.77
SaoCarlos	media	RP	0_5	macro	3	19.39	183.82	9.54	203.21
SaoCarlos	media	EP	0_5	macro	1	8.10	162.10	4.76	170.20
SaoCarlos	media	EP	0_5	macro	2	7.56	141.05	5.09	148.61
SaoCarlos	media	EP	0_5	macro	3	7.24	138.64	4.97	145.88
SaoCarlos	media	ANV	0_5	macro	1	9.37	96.32	8.87	105.69
SaoCarlos	media	ANV	0_5	macro	2	10.23	130.62	7.26	140.85
SaoCarlos	media	ANV	0_5	macro	3	10.65	109.99	8.83	120.64
SaoCarlos	media	ICLF1.5	0_5	micro	1	15.13	594.11	2.48	609.24
SaoCarlos	media	ICLF1.5	0_5	micro	2	15.34	609.31	2.46	624.65
SaoCarlos	media	ICLF1.5	0_5	micro	3	16.62	616.08	2.63	632.70
SaoCarlos	media	ICLF7.5	0_5	micro	1	12.46	764.17	1.60	776.64
SaoCarlos	media	ICLF7.5	0_5	micro	2	14.70	695.91	2.07	710.61
SaoCarlos	media	ICLF7.5	0_5	micro	3	14.91	675.66	2.16	690.57
SaoCarlos	media	ILF1.5	0_5	micro	1	11.19	520.89	2.10	532.08
SaoCarlos	media	ILF1.5	0_5	micro	2	10.87	558.75	1.91	569.62
SaoCarlos	media	ILF1.5	0_5	micro	3	10.55	533.04	1.94	543.59
SaoCarlos	media	ILF7.5	0_5	micro	1	8.74	503.64	1.70	512.37
SaoCarlos	media	ILF7.5	0_5	micro	2	8.74	552.20	1.56	560.93
SaoCarlos	media	ILF7.5	0_5	micro	3	7.03	544.51	1.27	551.54
SaoCarlos	media	ICL 	0_5	micro	1	7.35	495.78	1.46	503.13
SaoCarlos	media	ICL 	0_5	micro	2	7.24	537.30	1.33	544.55
SaoCarlos	media	ICL 	0_5	micro	3	7.99	494.15	1.59	502.14
SaoCarlos	media	RP	0_5	micro	1	8.31	445.82	1.83	454.13
SaoCarlos	media	RP	0_5	micro	2	8.31	493.06	1.66	501.36
SaoCarlos	media	RP	0_5	micro	3	8.95	452.48	1.94	461.43
SaoCarlos	media	EP	0_5	micro	1	7.67	307.96	2.43	315.63
SaoCarlos	media	EP	0_5	micro	2	7.46	239.19	3.02	246.65
SaoCarlos	media	EP	0_5	micro	3	8.74	258.37	3.27	267.11
SaoCarlos	media	ANV	0_5	micro	1	10.12	279.58	3.49	289.70
SaoCarlos	media	ANV	0_5	micro	2	11.82	243.22	4.64	255.05
SaoCarlos	media	ANV	0_5	micro	3	10.55	294.01	3.46	304.56
SaoCarlos	media	ICLF1.5	0_5	c+s	1	23.02	431.97	5.06	454.99
SaoCarlos	media	ICLF1.5	0_5	c+s	2	20.48	350.89	5.51	371.38
SaoCarlos	media	ICLF1.5	0_5	c+s	3	25.87	373.91	6.47	399.78
SaoCarlos	media	ICLF7.5	0_5	c+s	1	24.55	391.51	5.90	416.06
SaoCarlos	media	ICLF7.5	0_5	c+s	2	27.16	340.43	7.39	367.60
SaoCarlos	media	ICLF7.5	0_5	c+s	3	28.76	298.03	8.80	326.80
SaoCarlos	media	ILF1.5	0_5	c+s	1	21.84	474.22	4.40	496.06
SaoCarlos	media	ILF1.5	0_5	c+s	2	23.97	479.16	4.76	503.13
SaoCarlos	media	ILF1.5	0_5	c+s	3	22.69	459.45	4.71	482.14
SaoCarlos	media	ILF7.5	0_5	c+s	1	19.18	257.46	6.93	276.64
SaoCarlos	media	ILF7.5	0_5	c+s	2	20.24	449.89	4.31	470.13
SaoCarlos	media	ILF7.5	0_5	c+s	3	21.84	315.23	6.48	337.07
SaoCarlos	media	ICL 	0_5	c+s	1	22.37	433.28	4.91	455.65
SaoCarlos	media	ICL 	0_5	c+s	2	15.98	256.29	5.87	272.27
SaoCarlos	media	ICL 	0_5	c+s	3	19.71	478.51	3.96	498.22
SaoCarlos	media	RP	0_5	c+s	1	19.18	604.24	3.08	623.41
SaoCarlos	media	RP	0_5	c+s	2	17.58	623.14	2.74	640.71
SaoCarlos	media	RP	0_5	c+s	3	15.50	526.35	2.86	541.85
SaoCarlos	media	EP	0_5	c+s	1	11.19	405.74	2.68	416.93
SaoCarlos	media	EP	0_5	c+s	2	10.65	343.16	3.01	353.82
SaoCarlos	media	EP	0_5	c+s	3	12.25	416.27	2.86	428.52
SaoCarlos	media	ANV	0_5	c+s	1	10.70	328.11	3.16	338.80
SaoCarlos	media	ANV	0_5	c+s	2	9.02	237.98	3.65	247.00
SaoCarlos	media	ANV	0_5	c+s	3	11.70	403.83	2.82	415.53
SaoCarlos	media	ICLF1.5	5_15	grande	1	8.95	265.03	3.27	273.98
SaoCarlos	media	ICLF1.5	5_15	grande	2	7.35	283.03	2.53	290.39
SaoCarlos	media	ICLF1.5	5_15	grande	3	10.12	307.93	3.18	318.05
SaoCarlos	media	ICLF7.5	5_15	grande	1	8.63	584.35	1.46	592.97
SaoCarlos	media	ICLF7.5	5_15	grande	2	10.76	575.13	1.84	585.89
SaoCarlos	media	ICLF7.5	5_15	grande	3	11.61	486.24	2.33	497.85
SaoCarlos	media	ILF1.5	5_15	grande	1	12.25	378.04	3.14	390.29
SaoCarlos	media	ILF1.5	5_15	grande	2	12.57	335.59	3.61	348.16
SaoCarlos	media	ILF1.5	5_15	grande	3	12.57	329.62	3.67	342.19
SaoCarlos	media	ILF7.5	5_15	grande	1	10.12	274.82	3.55	284.94
SaoCarlos	media	ILF7.5	5_15	grande	2	11.72	273.66	4.11	285.38
SaoCarlos	media	ILF7.5	5_15	grande	3	7.35	293.42	2.44	300.77
SaoCarlos	media	ICL 	5_15	grande	1	8.95	302.31	2.87	311.26
SaoCarlos	media	ICL 	5_15	grande	2	10.55	287.28	3.54	297.82
SaoCarlos	media	ICL 	5_15	grande	3	10.33	272.64	3.65	282.98
SaoCarlos	media	RP	5_15	grande	1	6.60	180.67	3.53	187.27
SaoCarlos	media	RP	5_15	grande	2	6.39	154.71	3.97	161.10
SaoCarlos	media	RP	5_15	grande	3	6.82	141.22	4.61	148.04
SaoCarlos	media	EP	5_15	grande	1	3.41	225.18	1.49	228.59
SaoCarlos	media	EP	5_15	grande	2	4.90	209.54	2.29	214.44
SaoCarlos	media	EP	5_15	grande	3	4.47	196.43	2.23	200.91
SaoCarlos	media	ANV	5_15	grande	1	3.94	103.76	3.66	107.70
SaoCarlos	media	ANV	5_15	grande	2	4.58	110.03	4.00	114.61
SaoCarlos	media	ANV	5_15	grande	3	4.69	90.88	4.90	95.57
SaoCarlos	media	ICLF1.5	5_15	macro	1	14.70	349.99	4.03	364.69
SaoCarlos	media	ICLF1.5	5_15	macro	2	14.59	367.21	3.82	381.80
SaoCarlos	media	ICLF1.5	5_15	macro	3	17.04	390.55	4.18	407.60
SaoCarlos	media	ICLF7.5	5_15	macro	1	15.34	200.19	7.12	215.53
SaoCarlos	media	ICLF7.5	5_15	macro	2	17.68	175.57	9.15	193.25
SaoCarlos	media	ICLF7.5	5_15	macro	3	19.07	133.58	12.49	152.65
SaoCarlos	media	ILF1.5	5_15	macro	1	16.62	249.51	6.24	266.13
SaoCarlos	media	ILF1.5	5_15	macro	2	16.83	238.94	6.58	255.77
SaoCarlos	media	ILF1.5	5_15	macro	3	18.64	225.36	7.64	244.00
SaoCarlos	media	ILF7.5	5_15	macro	1	18.54	270.50	6.41	289.03
SaoCarlos	media	ILF7.5	5_15	macro	2	18.64	238.52	7.25	257.16
SaoCarlos	media	ILF7.5	5_15	macro	3	18.22	238.32	7.10	256.54
SaoCarlos	media	ICL 	5_15	macro	1	4.79	246.89	1.90	251.68
SaoCarlos	media	ICL 	5_15	macro	2	5.86	239.57	2.39	245.43
SaoCarlos	media	ICL 	5_15	macro	3	5.33	220.42	2.36	225.75
SaoCarlos	media	RP	5_15	macro	1	5.86	73.99	7.34	79.85
SaoCarlos	media	RP	5_15	macro	2	5.75	123.75	4.44	129.50
SaoCarlos	media	RP	5_15	macro	3	5.65	134.78	4.02	140.42
SaoCarlos	media	EP	5_15	macro	1	3.41	103.64	3.18	107.05
SaoCarlos	media	EP	5_15	macro	2	4.37	77.82	5.31	82.19
SaoCarlos	media	EP	5_15	macro	3	4.47	58.84	7.07	63.31
SaoCarlos	media	ANV	5_15	macro	1	4.15	86.29	4.59	90.44
SaoCarlos	media	ANV	5_15	macro	2	3.94	106.59	3.57	110.53
SaoCarlos	media	ANV	5_15	macro	3	3.52	103.56	3.28	107.07
SaoCarlos	media	ICLF1.5	5_15	micro	1	9.59	572.18	1.65	581.76
SaoCarlos	media	ICLF1.5	5_15	micro	2	9.59	601.93	1.57	611.52
SaoCarlos	media	ICLF1.5	5_15	micro	3	10.76	595.29	1.78	606.05
SaoCarlos	media	ICLF7.5	5_15	micro	1	10.65	425.23	2.44	435.89
SaoCarlos	media	ICLF7.5	5_15	micro	2	11.40	428.43	2.59	439.83
SaoCarlos	media	ICLF7.5	5_15	micro	3	12.57	401.02	3.04	413.59
SaoCarlos	media	ILF1.5	5_15	micro	1	9.16	426.03	2.11	435.19
SaoCarlos	media	ILF1.5	5_15	micro	2	7.88	484.68	1.60	492.56
SaoCarlos	media	ILF1.5	5_15	micro	3	9.48	444.48	2.09	453.96
SaoCarlos	media	ILF7.5	5_15	micro	1	11.82	492.82	2.34	504.65
SaoCarlos	media	ILF7.5	5_15	micro	2	10.65	514.34	2.03	524.99
SaoCarlos	media	ILF7.5	5_15	micro	3	8.63	528.36	1.61	536.99
SaoCarlos	media	ICL 	5_15	micro	1	8.74	367.19	2.32	375.92
SaoCarlos	media	ICL 	5_15	micro	2	8.95	387.09	2.26	396.04
SaoCarlos	media	ICL 	5_15	micro	3	8.52	358.25	2.32	366.77
SaoCarlos	media	RP	5_15	micro	1	9.27	324.43	2.78	333.70
SaoCarlos	media	RP	5_15	micro	2	9.05	353.74	2.50	362.79
SaoCarlos	media	RP	5_15	micro	3	8.52	339.50	2.45	348.02
SaoCarlos	media	EP	5_15	micro	1	8.52	256.94	3.21	265.47
SaoCarlos	media	EP	5_15	micro	2	8.63	240.82	3.46	249.45
SaoCarlos	media	EP	5_15	micro	3	8.63	258.37	3.23	267.00
SaoCarlos	media	ANV	5_15	micro	1	9.37	229.12	3.93	238.49
SaoCarlos	media	ANV	5_15	micro	2	9.16	215.76	4.07	224.92
SaoCarlos	media	ANV	5_15	micro	3	9.48	218.47	4.16	227.95
SaoCarlos	media	ICLF1.5	5_15	c+s	1	18.11	557.67	3.15	575.78
SaoCarlos	media	ICLF1.5	5_15	c+s	2	21.31	610.18	3.37	631.48
SaoCarlos	media	ICLF1.5	5_15	c+s	3	19.71	601.78	3.17	621.49
SaoCarlos	media	ICLF7.5	5_15	c+s	1	12.25	588.05	2.04	600.30
SaoCarlos	media	ICLF7.5	5_15	c+s	2	10.65	531.95	1.96	542.60
SaoCarlos	media	ICLF7.5	5_15	c+s	3	11.19	502.24	2.18	513.43
SaoCarlos	media	ILF1.5	5_15	c+s	1	11.72	529.54	2.16	541.26
SaoCarlos	media	ILF1.5	5_15	c+s	2	15.45	459.97	3.25	475.42
SaoCarlos	media	ILF1.5	5_15	c+s	3	13.85	471.80	2.85	485.65
SaoCarlos	media	ILF7.5	5_15	c+s	1	12.25	736.14	1.64	748.39
SaoCarlos	media	ILF7.5	5_15	c+s	2	15.05	789.76	1.87	804.81
SaoCarlos	media	ILF7.5	5_15	c+s	3	10.12	770.53	1.30	780.65
SaoCarlos	media	ICL 	5_15	c+s	1	9.59	656.68	1.44	666.26
SaoCarlos	media	ICL 	5_15	c+s	2	10.65	604.12	1.73	614.77
SaoCarlos	media	ICL 	5_15	c+s	3	13.32	750.42	1.74	763.74
SaoCarlos	media	RP	5_15	c+s	1	11.72	470.54	2.43	482.26
SaoCarlos	media	RP	5_15	c+s	2	11.72	455.32	2.51	467.04
SaoCarlos	media	RP	5_15	c+s	3	14.38	511.58	2.73	525.96
SaoCarlos	media	EP	5_15	c+s	1	10.12	557.64	1.78	567.76
SaoCarlos	media	EP	5_15	c+s	2	11.19	578.11	1.90	589.29
SaoCarlos	media	EP	5_15	c+s	3	11.19	584.76	1.88	595.94
SaoCarlos	media	ANV	5_15	c+s	1	11.84	489.64	2.36	501.48
SaoCarlos	media	ANV	5_15	c+s	2	13.44	552.62	2.37	566.06
SaoCarlos	media	ANV	5_15	c+s	3	12.37	552.94	2.19	565.31
SaoCarlos	media	ICLF1.5	15_30	grande	1	7.35	300.36	2.39	307.71
SaoCarlos	media	ICLF1.5	15_30	grande	2	7.24	320.34	2.21	327.58
SaoCarlos	media	ICLF1.5	15_30	grande	3	8.74	294.52	2.88	303.26
SaoCarlos	media	ICLF7.5	15_30	grande	1	7.24	327.16	2.17	334.41
SaoCarlos	media	ICLF7.5	15_30	grande	2	8.31	313.89	2.58	322.20
SaoCarlos	media	ICLF7.5	15_30	grande	3	6.60	270.36	2.38	276.97
SaoCarlos	media	ILF1.5	15_30	grande	1	5.97	250.83	2.32	256.80
SaoCarlos	media	ILF1.5	15_30	grande	2	5.97	260.48	2.24	266.45
SaoCarlos	media	ILF1.5	15_30	grande	3	7.67	282.76	2.64	290.43
SaoCarlos	media	ILF7.5	15_30	grande	1	5.43	275.96	1.93	281.40
SaoCarlos	media	ILF7.5	15_30	grande	2	6.07	266.86	2.22	272.93
SaoCarlos	media	ILF7.5	15_30	grande	3	6.39	294.37	2.13	300.76
SaoCarlos	media	ICL 	15_30	grande	1	7.56	293.74	2.51	301.31
SaoCarlos	media	ICL 	15_30	grande	2	7.46	271.52	2.67	278.98
SaoCarlos	media	ICL 	15_30	grande	3	7.35	282.45	2.54	289.80
SaoCarlos	media	RP	15_30	grande	1	6.82	137.78	4.72	144.60
SaoCarlos	media	RP	15_30	grande	2	6.82	132.12	4.91	138.93
SaoCarlos	media	RP	15_30	grande	3	7.03	102.27	6.43	109.30
SaoCarlos	media	EP	15_30	grande	1	3.20	211.51	1.49	214.70
SaoCarlos	media	EP	15_30	grande	2	4.05	184.30	2.15	188.35
SaoCarlos	media	EP	15_30	grande	3	4.26	196.40	2.12	200.66
SaoCarlos	media	ANV	15_30	grande	1	2.88	114.90	2.44	117.78
SaoCarlos	media	ANV	15_30	grande	2	2.98	97.57	2.97	100.55
SaoCarlos	media	ANV	15_30	grande	3	2.77	107.15	2.52	109.92
SaoCarlos	media	ICLF1.5	15_30	macro	1	5.65	391.93	1.42	397.57
SaoCarlos	media	ICLF1.5	15_30	macro	2	5.54	397.88	1.37	403.42
SaoCarlos	media	ICLF1.5	15_30	macro	3	6.07	367.25	1.63	373.32
SaoCarlos	media	ICLF7.5	15_30	macro	1	4.47	256.85	1.71	261.32
SaoCarlos	media	ICLF7.5	15_30	macro	2	5.22	240.96	2.12	246.18
SaoCarlos	media	ICLF7.5	15_30	macro	3	5.86	261.98	2.19	267.84
SaoCarlos	media	ILF1.5	15_30	macro	1	4.90	306.22	1.58	311.12
SaoCarlos	media	ILF1.5	15_30	macro	2	5.43	288.98	1.85	294.41
SaoCarlos	media	ILF1.5	15_30	macro	3	3.62	289.03	1.24	292.65
SaoCarlos	media	ILF7.5	15_30	macro	1	4.58	279.49	1.61	284.07
SaoCarlos	media	ILF7.5	15_30	macro	2	4.37	266.85	1.61	271.22
SaoCarlos	media	ILF7.5	15_30	macro	3	4.05	267.17	1.49	271.21
SaoCarlos	media	ICL 	15_30	macro	1	3.73	357.47	1.03	361.19
SaoCarlos	media	ICL 	15_30	macro	2	3.73	322.46	1.14	326.19
SaoCarlos	media	ICL 	15_30	macro	3	3.52	344.95	1.01	348.46
SaoCarlos	media	RP	15_30	macro	1	3.73	121.40	2.98	125.13
SaoCarlos	media	RP	15_30	macro	2	3.62	157.26	2.25	160.88
SaoCarlos	media	RP	15_30	macro	3	3.30	160.22	2.02	163.52
SaoCarlos	media	EP	15_30	macro	1	3.84	64.90	5.58	68.74
SaoCarlos	media	EP	15_30	macro	2	3.94	38.43	9.30	42.37
SaoCarlos	media	EP	15_30	macro	3	4.05	51.50	7.29	55.55
SaoCarlos	media	ANV	15_30	macro	1	2.34	267.16	0.87	269.51
SaoCarlos	media	ANV	15_30	macro	2	2.45	202.98	1.19	205.43
SaoCarlos	media	ANV	15_30	macro	3	2.77	204.22	1.34	206.99
SaoCarlos	media	ICLF1.5	15_30	micro	1	2.56	587.89	0.43	590.45
SaoCarlos	media	ICLF1.5	15_30	micro	2	2.24	615.23	0.36	617.47
SaoCarlos	media	ICLF1.5	15_30	micro	3	2.45	581.17	0.42	583.62
SaoCarlos	media	ICLF7.5	15_30	micro	1	2.77	442.79	0.62	445.56
SaoCarlos	media	ICLF7.5	15_30	micro	2	2.24	516.80	0.43	519.03
SaoCarlos	media	ICLF7.5	15_30	micro	3	3.41	494.51	0.68	497.92
SaoCarlos	media	ILF1.5	15_30	micro	1	4.26	486.09	0.87	490.35
SaoCarlos	media	ILF1.5	15_30	micro	2	4.26	552.47	0.77	556.73
SaoCarlos	media	ILF1.5	15_30	micro	3	4.37	514.76	0.84	519.12
SaoCarlos	media	ILF7.5	15_30	micro	1	4.79	476.25	1.00	481.04
SaoCarlos	media	ILF7.5	15_30	micro	2	5.65	519.21	1.08	524.86
SaoCarlos	media	ILF7.5	15_30	micro	3	5.11	503.01	1.01	508.12
SaoCarlos	media	ICL 	15_30	micro	1	3.52	433.33	0.80	436.84
SaoCarlos	media	ICL 	15_30	micro	2	3.62	450.83	0.80	454.45
SaoCarlos	media	ICL 	15_30	micro	3	3.73	444.77	0.83	448.50
SaoCarlos	media	RP	15_30	micro	1	3.73	348.69	1.06	352.42
SaoCarlos	media	RP	15_30	micro	2	3.20	259.56	1.22	262.76
SaoCarlos	media	RP	15_30	micro	3	3.52	323.35	1.08	326.86
SaoCarlos	media	EP	15_30	micro	1	2.34	324.76	0.72	327.10
SaoCarlos	media	EP	15_30	micro	2	2.45	278.91	0.87	281.36
SaoCarlos	media	EP	15_30	micro	3	2.56	262.30	0.97	264.86
SaoCarlos	media	ANV	15_30	micro	1	3.20	405.94	0.78	409.14
SaoCarlos	media	ANV	15_30	micro	2	3.09	369.41	0.83	372.50
SaoCarlos	media	ANV	15_30	micro	3	3.30	358.62	0.91	361.92
SaoCarlos	media	ICLF1.5	15_30	c+s	1	13.32	561.83	2.32	575.15
SaoCarlos	media	ICLF1.5	15_30	c+s	2	12.78	462.72	2.69	475.50
SaoCarlos	media	ICLF1.5	15_30	c+s	3	14.65	484.74	2.93	499.39
SaoCarlos	media	ICLF7.5	15_30	c+s	1	10.39	575.32	1.77	585.71
SaoCarlos	media	ICLF7.5	15_30	c+s	2	10.12	551.61	1.80	561.73
SaoCarlos	media	ICLF7.5	15_30	c+s	3	10.92	537.01	1.99	547.93
SaoCarlos	media	ILF1.5	15_30	c+s	1	10.39	646.95	1.58	657.34
SaoCarlos	media	ILF1.5	15_30	c+s	2	10.39	622.27	1.64	632.66
SaoCarlos	media	ILF1.5	15_30	c+s	3	11.19	464.91	2.35	476.09
SaoCarlos	media	ILF7.5	15_30	c+s	1	7.72	690.25	1.11	697.98
SaoCarlos	media	ILF7.5	15_30	c+s	2	8.26	732.79	1.11	741.04
SaoCarlos	media	ILF7.5	15_30	c+s	3	7.99	965.23	0.82	973.22
SaoCarlos	media	ICL 	15_30	c+s	1	6.92	355.90	1.91	362.82
SaoCarlos	media	ICL 	15_30	c+s	2	6.39	405.27	1.55	411.66
SaoCarlos	media	ICL 	15_30	c+s	3	6.66	382.18	1.71	388.84
SaoCarlos	media	RP	15_30	c+s	1	6.39	537.53	1.18	543.92
SaoCarlos	media	RP	15_30	c+s	2	6.13	530.23	1.14	536.35
SaoCarlos	media	RP	15_30	c+s	3	6.13	555.86	1.09	561.99
SaoCarlos	media	EP	15_30	c+s	1	5.06	558.67	0.90	563.73
SaoCarlos	media	EP	15_30	c+s	2	4.79	502.89	0.94	507.68
SaoCarlos	media	EP	15_30	c+s	3	4.26	492.10	0.86	496.36
SaoCarlos	media	ANV	15_30	c+s	1	8.52	469.29	1.78	477.81
SaoCarlos	media	ANV	15_30	c+s	2	8.79	518.13	1.67	526.92
SaoCarlos	media	ANV	15_30	c+s	3	9.59	542.50	1.74	552.09
Dourados	argiloso	CT	0_5	grande	1	28.07	250.55	10.08	278.62
Dourados	argiloso	CT	0_5	grande	2	26.70	250.55	9.63	277.25
Dourados	argiloso	CT	0_5	grande	3	25.12	250.55	9.11	275.67
Dourados	argiloso	NT	0_5	grande	1	59.83	250.55	19.28	310.38
Dourados	argiloso	NT	0_5	grande	2	57.51	250.55	18.67	308.06
Dourados	argiloso	NT	0_5	grande	3	56.67	250.55	18.45	307.22
Dourados	argiloso	EP	0_5	grande	1	8.55	250.55	3.30	259.10
Dourados	argiloso	EP	0_5	grande	2	8.23	250.55	3.18	258.78
Dourados	argiloso	EP	0_5	grande	3	7.86	250.55	3.04	258.41
Dourados	argiloso	NV	0_5	grande	1	6.96	250.55	2.70	257.51
Dourados	argiloso	NV	0_5	grande	2	5.23	250.55	2.04	255.78
Dourados	argiloso	NV	0_5	grande	3	6.54	250.55	2.54	257.09
Dourados	argiloso	ICLA	0_5	grande	1	29.96	250.55	10.68	280.51
Dourados	argiloso	ICLA	0_5	grande	2	26.17	250.55	9.46	276.72
Dourados	argiloso	ICLA	0_5	grande	3	24.49	250.55	8.90	275.04
Dourados	argiloso	ICLB	0_5	grande	1	22.78	250.55	8.34	273.33
Dourados	argiloso	ICLB	0_5	grande	2	18.47	250.55	6.86	269.02
Dourados	argiloso	ICLB	0_5	grande	3	19.21	250.55	7.12	269.76
Dourados	argiloso	CT	0_5	macro	1	48.86	250.55	16.32	299.41
Dourados	argiloso	CT	0_5	macro	2	48.02	250.55	16.08	298.56
Dourados	argiloso	CT	0_5	macro	3	47.70	250.55	15.99	298.25
Dourados	argiloso	NT	0_5	macro	1	72.08	250.55	22.34	322.63
Dourados	argiloso	NT	0_5	macro	2	69.86	250.55	21.80	320.41
Dourados	argiloso	NT	0_5	macro	3	69.76	250.55	21.78	320.30
Dourados	argiloso	EP	0_5	macro	1	7.91	250.55	3.06	258.46
Dourados	argiloso	EP	0_5	macro	2	8.23	250.55	3.18	258.78
Dourados	argiloso	EP	0_5	macro	3	8.13	250.55	3.14	258.67
Dourados	argiloso	NV	0_5	macro	1	10.87	250.55	4.16	261.42
Dourados	argiloso	NV	0_5	macro	2	10.03	250.55	3.85	260.57
Dourados	argiloso	NV	0_5	macro	3	10.13	250.55	3.89	260.68
Dourados	argiloso	ICLA	0_5	macro	1	28.18	250.55	10.11	278.73
Dourados	argiloso	ICLA	0_5	macro	2	29.86	250.55	10.65	280.41
Dourados	argiloso	ICLA	0_5	macro	3	28.07	250.55	10.08	278.62
Dourados	argiloso	ICLB	0_5	macro	1	56.25	250.55	18.33	306.80
Dourados	argiloso	ICLB	0_5	macro	2	53.71	250.55	17.65	304.26
Dourados	argiloso	ICLB	0_5	macro	3	54.24	250.55	17.80	304.79
Dourados	argiloso	CT	0_5	micro	1	49.43	250.55	16.48	299.98
Dourados	argiloso	CT	0_5	micro	2	46.96	250.55	15.78	297.51
Dourados	argiloso	CT	0_5	micro	3	43.75	250.55	14.87	294.30
Dourados	argiloso	NT	0_5	micro	1	77.56	250.55	23.64	328.11
Dourados	argiloso	NT	0_5	micro	2	85.26	250.55	25.39	335.81
Dourados	argiloso	NT	0_5	micro	3	79.68	250.55	24.13	330.22
Dourados	argiloso	EP	0_5	micro	1	9.29	250.55	3.57	259.84
Dourados	argiloso	EP	0_5	micro	2	8.05	250.55	3.11	258.60
Dourados	argiloso	EP	0_5	micro	3	8.86	250.55	3.42	259.41
Dourados	argiloso	NV	0_5	micro	1	9.29	250.55	3.57	259.84
Dourados	argiloso	NV	0_5	micro	2	10.13	250.55	3.89	260.68
Dourados	argiloso	NV	0_5	micro	3	9.92	250.55	3.81	260.47
Dourados	argiloso	ICLA	0_5	micro	1	39.26	250.55	13.55	289.81
Dourados	argiloso	ICLA	0_5	micro	2	38.41	250.55	13.29	288.96
Dourados	argiloso	ICLA	0_5	micro	3	37.89	250.55	13.13	288.43
Dourados	argiloso	ICLB	0_5	micro	1	35.25	250.55	12.33	285.80
Dourados	argiloso	ICLB	0_5	micro	2	34.93	250.55	12.24	285.48
Dourados	argiloso	ICLB	0_5	micro	3	35.14	250.55	12.30	285.69
Dourados	argiloso	CT	0_5	c+s	1	124.53	250.55	33.20	375.07
Dourados	argiloso	CT	0_5	c+s	2	122.41	250.55	32.82	372.96
